token,en-US,fr-FR,ja-JP,ko-KR,zh-CN
email_pwd_reset_text,A request to reset the password of your account has been emitted; please click on the button hereafter to proceed:,,パスワードの再設定が送信されましたので、以下のボタンをクリックして手続きを行ってください。,,
email_pwd_reset_notice,"This link will remain valid during the 24 hours following the request. Beyond that period, a new request must be emitted. ",,このリンクは、リクエスト後24時間有効です。それを過ぎると、新たなリクエストが必要です。,,
password_recovery_email_title,__SITE__ password recovery,,__SITE__のパスワード再設定,,
regards,"Best regards,",,よろしくお願いいたします。,,
mtgoxnft_team,The __SITE__ team,,__SITE__のチーム紹介,,
error_tos_not_accepted,You need to accept the terms of service to proceed.,,利用規約に同意の上、手続きを行ってください。,,
error_name_not_valid,This name is invalid.,,この名前は無効です。,,
error_password_not_acceptable,This password is not acceptable.,,このパスワードは使用できません。,,
recover_pwd_title,Recover your password,,パスワードの再設定,,
pwd_recover_confirm,Please check your emails to reset your password.,,パスワードの再設定を行いますので、メールをご確認ください。,,
recover_pwd_link,Password lost?,,パスワードを忘れた場合,,
recover_pwd_cta,Recover my password,,パスワードの再設定,,
recover_pwd_email_placeholder,Email,,Eメール,,
recover_pwd_email_label,Email,,Eメール,,
cta_login_next,Next,,次,,
user_flow_title,Sign in / Sign up,,サインイン / サインアップ,,
user_flow_pwd_reset_input_email,Password recovery,,,,
reset_password_email_input_help,"To recover your password, enter your email to receive a code for resetting it. Follow the instructions in the email to reset your password.",,,,
error_no_account_or_limit_reached,"Sorry, it looks like the account is invalid or you have exceeded the maximum number of attempts. Please try again later.",,,,
user_flow_account_reset_confirm,Reset Confirmation,,,,
reset_password_input_code_help,Please enter the code that was sent to you via email,,,,
user_account_reset_code,Reset Code,,,,
reset_password_input_pwd_help,Please enter your new password,,,,
user_flow_account_reset_set_password,New Password,,,,
input_field_reset_password,Password,,,,
input_field_reset_conf_password,Password Confirm,,,,
error_invalid_password_click_reset,Reset Password,,,,
